filename,sku,image_path,brand,name,description,price,currency,image_url,section,fabric,fibre
Zara_311287361-800-3_902.jpg,311287361-800-3,Zara_311287361-800-3_902.jpg,Zara,GEOMETRIC PRINT LONGLINE SWIMMING TRUNKS,"Swimming trunks made in technical fabric with velvet finish. Adjustable elastic drawstring waistband. Side pockets and back patch pocket. Interior lining.

Inseam: 7.9 inches (20 cm)
Outseam: 17.7 inches (45 cm)",39.9,USD,https://static.zara.net/photos///2024/V/0/2/p/8574/425/800/2/w/1920/8574425800_6_1_1.jpg?ts=1700649554340,MAN,chenille,wool
Zara_311287539-001-35_1674.jpg,311287539-001-35,Zara_311287539-001-35_1674.jpg,Zara,FLATFORM SNEAKERS,"Sneakers with flatform soles. Lace-up closure. 

Sole height: 1.6 inches (4 cm) 

STARFITÂ®. Flexible technical sole made of polyurethane foam designed to offer increased comfort.",35.9,USD,https://static.zara.net/photos///2024/V/1/1/p/5408/310/001/2/w/1920/5408310001_1_1_1.jpg?ts=1704383743652,WOMAN,crepe,cotton
Zara_311292337-800-3_898.jpg,311292337-800-3,Zara_311292337-800-3_898.jpg,Zara,LONGLINE SWIMMING TRUNKS,"Swimming trunks made in technical fabric with velvet finish. Adjustable elastic drawstring waistband. Side pockets and back patch pocket. Interior lining.

Inseam: 7.9 inches (20 cm)
Outseam: 17.7 inches (45 cm)",35.9,USD,https://static.zara.net/photos///2024/V/0/2/p/8574/404/800/2/w/1920/8574404800_1_1_1.jpg?ts=1702376399507,MAN,taffeta,elastane_spandex
Zara_311292370-800-35_1625.jpg,311292370-800-35,Zara_311292370-800-35_1625.jpg,Zara,BLOCK HEEL SLINGBACK SHOES,"Slingback block heel pumps. Front strap with buckle detail. Buckled back strap. Squared toe. 

Heel height: 3.1 inches (8 cm)",49.9,USD,https://static.zara.net/photos///2024/V/1/1/p/2207/310/800/2/w/1920/2207310800_1_1_1.jpg?ts=1708072365405,WOMAN,satin,silk
Zara_311297370-800-35_1638.jpg,311297370-800-35,Zara_311297370-800-35_1638.jpg,Zara,STRAIGHT SHAFT KNEE HIGH HEELED BOOTS,"Heeled knee high boots. Thin heel. Straight shaft. Pointed toe.

Heel height: 4.3 inches (11Â cm)",109.0,USD,https://static.zara.net/photos///2024/V/1/1/p/2003/310/800/2/w/1920/2003310800_1_1_1.jpg?ts=1703603592581,WOMAN,faux_leather,leather
Zara_311297390-251-2_864.jpg,311297390-251-2,Zara_311297390-251-2_864.jpg,Zara,BASIC WORKOUT SHORTS,"Training shorts made of lightweight, stretchy technical fabric.

- Elastic waistband with adjustable cord.
- Side pockets.
- Security pocket at back with zipper closure.
- Interior lining.
- Inseam: 7.1 inches (18 cm)
- Side slits.
- Logo print at leg.

Zara Athleticz.",25.9,USD,https://static.zara.net/photos///2024/V/0/2/p/1943/401/251/2/w/1920/1943401251_1_1_1.jpg?ts=1704889649049,MAN,tulle,cotton
Zara_311297401-406-1_1220.jpg,311297401-406-1,Zara_311297401-406-1_1220.jpg,Zara,TRF DENIM TOP,Tank top made of stretch denim fabric with round neckline. Washed effect.,35.9,USD,https://static.zara.net/photos///2024/V/0/1/p/8197/012/406/2/w/1920/8197012406_1_1_1.jpg?ts=1707478174103,WOMAN,denim,mohair
Zara_311302480-251-2_393.jpg,311302480-251-2,Zara_311302480-251-2_393.jpg,Zara,COTTON - LINEN PANTS,Pants made of cotton blend fabric with 28% linen. Adjustable elastic drawstring waistband. Front pockets and back welt pockets.,49.9,USD,https://static.zara.net/photos///2024/V/0/2/p/8574/435/251/2/w/1920/8574435251_1_1_1.jpg?ts=1705494633899,MAN,serge,wool
Zara_311302747-400-32_1582.jpg,311302747-400-32,Zara_311302747-400-32_1582.jpg,Zara,TRF LOW WAIST DENIM SHORTS,"LOW WAIST - STRAIGHT CUT

Five pocket shorts with a low waist. Washed effect. Front metal zip closure.",45.9,USD,https://static.zara.net/photos///2024/V/0/1/p/5520/002/400/2/w/1920/5520002400_1_1_1.jpg?ts=1707926046544,WOMAN,faux_leather,mohair
Zara_311302838-407-32_1558.jpg,311302838-407-32,Zara_311302838-407-32_1558.jpg,Zara,EXTRA LONG MID-RISE TRF STRAIGHT LEG METALLIC JEANS,"MID WAIST - CUFFED

Five pocket jeans with a mid waist. Washed effect. Cuffed. Front metal zip closure.",45.9,USD,https://static.zara.net/photos///2024/V/0/1/p/8727/002/407/2/w/1920/8727002407_1_1_1.jpg?ts=1707925126737,WOMAN,faux_leather,elastane_spandex
Zara_311307007-800-10_1148.jpg,311307007-800-10,Zara_311307007-800-10_1148.jpg,Zara,DOUBLE FACED LONG BIKER COAT ZW COLLECTION,"ZW WOMAN COLLECTION

Long biker coat made of faux leather fabric with tonal faux shearling interior. Lapel collar and long sleeves with turned-up cuffs. Pocket with side zipper. Front closure with double positioned metal zipper. 

The characteristics of the timeless biker jacket take on a new dimension in this coat. Side pockets and a double positioned front zipper closure are incorporated in this new interpretation of this double faced coat.",169.0,USD,https://static.zara.net/photos///2024/V/0/1/p/3548/042/800/2/w/1920/3548042800_1_1_1.jpg?ts=1707318026684,WOMAN,faux_leather,leather
Zara_311307296-800-39_1024.jpg,311307296-800-39,Zara_311307296-800-39_1024.jpg,Zara,CHUNKY SOLE PATENT FINISH PENNY LOAFERS,Loafers. Smooth exterior. Ornamental saddle detail at instep. Welt around upper. Irregular designed chunky lug soles.,89.9,USD,https://static.zara.net/photos///2024/V/1/2/p/2600/320/800/2/w/1920/2600320800_2_1_1.jpg?ts=1699975466582,MAN,faux_leather,leather
Zara_311645414-250-36_320.jpg,311645414-250-36,Zara_311645414-250-36_320.jpg,Zara,TEXTURED STRETCH PANTS,Slim fit pants made of bi-stretch fabric. Front pockets and buttoned back welt pockets. Front zip and button closure.,7.99,USD,https://static.zara.net/photos///2023/V/0/2/p/0706/215/250/2/w/1920/0706215250_1_1_1.jpg?ts=1678702770346,MAN,fleece,leather
Zara_312372602-800-2_39.jpg,312372602-800-2,Zara_312372602-800-2_39.jpg,Zara,100% FEATHER FILL PUFFER JACKET,Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.,169.0,USD,https://static.zara.net/photos///2023/I/0/2/p/4302/305/800/2/w/1920/4302305800_2_1_1.jpg?ts=1696577676839,MAN,taffeta,nylon
Zara_312664936-704-1_1106.jpg,312664936-704-1,Zara_312664936-704-1_1106.jpg,Zara,SHORT WOOL BLEND JACKET,Jacket made with 34% wool. Lapel collar and long sleeves. Front patch pockets with flaps. Front button closure.,69.9,USD,https://static.zara.net/photos///2024/V/0/1/p/3046/377/704/2/w/1920/3046377704_2_1_1.jpg?ts=1705672428542,WOMAN,denim,alpaca
Zara_313433236-112-3_969.jpg,313433236-112-3,Zara_313433236-112-3_969.jpg,Zara,3 PACK SPORT SOCKS,"Pack of three pairs of socks made of spun cotton blend fabric. Rib trim.

Zara Athleticz.",15.9,USD,https://static.zara.net/photos///2024/V/0/2/p/2496/400/112/2/w/1920/2496400112_6_1_1.jpg?ts=1704891312629,MAN,denim,cotton
Zara_313854168-800-38_377.jpg,313854168-800-38,Zara_313854168-800-38_377.jpg,Zara,100% WOOL SUIT PANTS,Slim fit pants made of Italian wool. Front pockets and buttoned back welt pockets. Front zip and hidden metal hook closure.,89.9,USD,https://static.zara.net/photos///2024/V/0/1/p/5956/218/800/2/w/1920/5956218800_1_1_1.jpg?ts=1707215199420,MAN,crepe,polyester
